CMDLINE /usr/bin/python3 julia_set_memory_profiler.py
MEM 3.585938 1636177684.7394
MEM 19.398438 1636177684.8398
MEM 29.648438 1636177684.9402
MEM 37.523438 1636177685.0406
MEM 51.714844 1636177685.1410
MEM 70.375000 1636177685.2414
MEM 89.437500 1636177685.3420
MEM 107.902344 1636177685.4425
MEM 122.960938 1636177685.5429
MEM 122.960938 1636177685.6434
MEM 122.960938 1636177685.7438
MEM 122.960938 1636177685.8443
MEM 122.960938 1636177685.9447
MEM 123.218750 1636177686.0452
MEM 123.218750 1636177686.1456
MEM 123.316406 1636177686.2461
MEM 123.316406 1636177686.3465
MEM 123.316406 1636177686.4469
MEM 123.316406 1636177686.5473
MEM 123.316406 1636177686.6478
MEM 123.316406 1636177686.7482
MEM 123.566406 1636177686.8487
MEM 123.566406 1636177686.9491
MEM 123.566406 1636177687.0496
MEM 123.566406 1636177687.1500
MEM 123.566406 1636177687.2504
MEM 123.816406 1636177687.3509
MEM 123.816406 1636177687.4514
MEM 123.816406 1636177687.5518
MEM 123.816406 1636177687.6523
MEM 123.816406 1636177687.7527
MEM 123.816406 1636177687.8531
MEM 124.066406 1636177687.9536
MEM 124.066406 1636177688.0540
MEM 124.066406 1636177688.1545
MEM 124.066406 1636177688.2550
MEM 124.066406 1636177688.3554
MEM 124.316406 1636177688.4558
MEM 124.316406 1636177688.5562
MEM 124.316406 1636177688.6567
MEM 124.316406 1636177688.7571
MEM 124.316406 1636177688.8575
MEM 124.316406 1636177688.9579
MEM 124.566406 1636177689.0584
MEM 124.566406 1636177689.1588
MEM 124.566406 1636177689.2592
MEM 124.566406 1636177689.3597
MEM 124.566406 1636177689.4601
MEM 124.816406 1636177689.5605
MEM 124.816406 1636177689.6610
MEM 124.816406 1636177689.7614
FUNC __main__.calc_pure_python 38.0273 1636177685.0649 38.7969 1636177694.5898 0
FUNC __main__.calculate_z_serial_purepython 115.4258 1636177685.4823 126.0664 1636177694.5544 1
MEM 124.816406 1636177689.8621
MEM 124.816406 1636177689.9626
MEM 124.816406 1636177690.0631
MEM 124.816406 1636177690.1637
MEM 124.816406 1636177690.2642
MEM 124.816406 1636177690.3647
MEM 124.816406 1636177690.4652
MEM 124.816406 1636177690.5657
MEM 124.816406 1636177690.6662
MEM 124.816406 1636177690.7667
MEM 124.816406 1636177690.8671
MEM 125.066406 1636177690.9676
MEM 125.066406 1636177691.0681
MEM 125.066406 1636177691.1686
MEM 125.066406 1636177691.2691
MEM 125.066406 1636177691.3695
MEM 125.066406 1636177691.4700
MEM 125.066406 1636177691.5705
MEM 125.066406 1636177691.6710
MEM 125.066406 1636177691.7716
MEM 125.066406 1636177691.8721
MEM 125.066406 1636177691.9726
MEM 125.316406 1636177692.0731
MEM 125.316406 1636177692.1737
MEM 125.316406 1636177692.2742
MEM 125.316406 1636177692.3747
MEM 125.316406 1636177692.4751
MEM 125.316406 1636177692.5756
MEM 125.316406 1636177692.6760
MEM 125.316406 1636177692.7764
MEM 125.566406 1636177692.8768
MEM 125.566406 1636177692.9773
MEM 125.566406 1636177693.0777
MEM 125.566406 1636177693.1782
MEM 125.566406 1636177693.2787
MEM 125.566406 1636177693.3791
MEM 125.816406 1636177693.4796
MEM 125.816406 1636177693.5801
MEM 125.816406 1636177693.6806
MEM 125.816406 1636177693.7810
MEM 125.816406 1636177693.8814
MEM 125.816406 1636177693.9819
MEM 125.816406 1636177694.0823
MEM 126.066406 1636177694.1827
MEM 126.066406 1636177694.2832
MEM 126.066406 1636177694.3836
MEM 126.066406 1636177694.4840
MEM 62.562500 1636177694.5846
