CMDLINE /usr/bin/python3 julia_set_memory_profiler_w_label.py
MEM 1.132812 1636178749.0695
MEM 19.441406 1636178749.1699
MEM 28.871094 1636178749.2707
MEM 37.316406 1636178749.3711
MEM 50.386719 1636178749.4716
MEM 67.781250 1636178749.5720
MEM 85.812500 1636178749.6724
MEM 101.804688 1636178749.7728
MEM 122.945312 1636178749.8734
MEM 122.945312 1636178749.9743
MEM 122.945312 1636178750.0753
MEM 122.945312 1636178750.1762
MEM 122.945312 1636178750.2772
MEM 122.945312 1636178750.3781
MEM 122.945312 1636178750.4790
MEM 122.945312 1636178750.5800
MEM 122.945312 1636178750.6808
MEM 122.945312 1636178750.7814
MEM 122.945312 1636178750.8819
MEM 122.945312 1636178750.9823
MEM 122.945312 1636178751.0828
MEM 122.945312 1636178751.1832
MEM 122.945312 1636178751.2837
MEM 123.203125 1636178751.3841
MEM 123.203125 1636178751.4846
MEM 123.296875 1636178751.5850
MEM 123.296875 1636178751.6854
MEM 123.296875 1636178751.7859
MEM 123.296875 1636178751.8863
MEM 123.296875 1636178751.9867
MEM 123.296875 1636178752.0872
MEM 123.546875 1636178752.1876
MEM 123.546875 1636178752.2881
MEM 123.546875 1636178752.3885
MEM 123.546875 1636178752.4889
MEM 123.546875 1636178752.5894
MEM 123.796875 1636178752.6898
MEM 123.796875 1636178752.7903
MEM 123.796875 1636178752.8908
MEM 123.796875 1636178752.9912
MEM 123.796875 1636178753.0917
MEM 123.796875 1636178753.1921
MEM 124.046875 1636178753.2926
MEM 124.046875 1636178753.3930
MEM 124.046875 1636178753.4935
MEM 124.046875 1636178753.5939
MEM 124.046875 1636178753.6945
MEM 124.046875 1636178753.7949
MEM 124.296875 1636178753.8953
MEM 124.296875 1636178753.9958
MEM 124.296875 1636178754.0962
FUNC __main__.calc_pure_python 38.0195 1636178749.4045 38.7891 1636178758.2614 0
FUNC __main__.calculate_z_serial_purepython 115.4102 1636178749.8475 126.0469 1636178758.2263 1
FUNC .create_output_list 115.4102 1636178749.8477 122.9453 1636178749.8516 2
MEM 124.296875 1636178754.1967
MEM 124.296875 1636178754.2972
MEM 124.546875 1636178754.3976
MEM 124.546875 1636178754.4980
MEM 124.546875 1636178754.5985
MEM 124.546875 1636178754.6989
MEM 124.546875 1636178754.7993
MEM 124.546875 1636178754.8998
MEM 124.796875 1636178755.0002
MEM 124.796875 1636178755.1007
MEM 124.796875 1636178755.2011
MEM 124.796875 1636178755.3015
MEM 124.796875 1636178755.4020
MEM 125.046875 1636178755.5023
MEM 125.046875 1636178755.6028
MEM 125.046875 1636178755.7032
MEM 125.046875 1636178755.8037
MEM 125.046875 1636178755.9041
MEM 125.046875 1636178756.0045
MEM 125.296875 1636178756.1049
MEM 125.296875 1636178756.2054
MEM 125.296875 1636178756.3058
MEM 125.296875 1636178756.4063
MEM 125.296875 1636178756.5068
MEM 125.546875 1636178756.6072
MEM 125.546875 1636178756.7078
MEM 125.546875 1636178756.8082
MEM 125.546875 1636178756.9087
MEM 125.546875 1636178757.0092
MEM 125.546875 1636178757.1096
MEM 125.796875 1636178757.2101
MEM 125.796875 1636178757.3105
MEM 125.796875 1636178757.4110
MEM 125.796875 1636178757.5114
MEM 125.796875 1636178757.6120
MEM 125.796875 1636178757.7124
MEM 126.046875 1636178757.8129
MEM 126.046875 1636178757.9134
MEM 126.046875 1636178758.0138
MEM 126.046875 1636178758.1142
MEM 126.046875 1636178758.2147
MEM 38.789062 1636178758.3151
